u,v,key,osmid,oneway,highway,maxspeed,reversed,length,from,to,lanes,name,bridge,junction,width,access,service,tunnel
283422406,4544102112,0,1275746486,1,tertiary,30,False,157.115,283422406,4544102112,2,Jos?� Santos Chocano,,,,,,,
283422603,1264347093,0,354685069,0,tertiary,40,False,88.491,1264347093,283422603,,Avenida San Mart?�n,,,,,,,
283422603,283423130,0,1275746488,1,tertiary,40,False,16.892,283422603,283423130,,Ovalo Juan Manuel Polar,,,roundabout,,,,
283422603,283423119,0,25980200,1,tertiary,40,False,30.183,283423119,283422603,,Ovalo Juan Manuel Polar,,,roundabout,,,,
283423115,1252938522,0,110831708,1,residential,40,False,79.221,283423115,1252938522,2,Avenida Lima,,,,,,,
283423115,1264336928,0,25980200,1,tertiary,40,False,21.369,283423115,1264336928,,Ovalo Juan Manuel Polar,,,roundabout,,,,
283423115,283423451,0,25980200,1,tertiary,40,False,50.29,283423451,283423115,,Ovalo Juan Manuel Polar,,,roundabout,,,,
283423119,1264346964,0,399149796,0,residential,40,False,72.043,1264346964,283423119,2,Calle Felipe Santiago Salaverry,,,,,,,
283423119,1264336928,0,25980200,1,tertiary,40,False,22.653,1264336928,283423119,,Ovalo Juan Manuel Polar,,,roundabout,,,,
283423130,283423451,0,1275746488,1,tertiary,40,False,40.253,283423130,283423451,,Ovalo Juan Manuel Polar,,,roundabout,,,,
283423130,1264338787,0,110817827,1,residential,40,False,77.44,1264338787,283423130,2,Avenida Lima,,,,,,,
283423449,1264312487,0,27640077,0,tertiary,30,True,72.808,1264312487,283423449,2,Avenida Emmel,,,,,,,
283423449,283423807,0,27640077,0,tertiary,30,False,70.069,283423807,283423449,2,Avenida Emmel,,,,,,,
283423449,283423882,0,1232808773,0,residential,,True,65.195,283423882,283423449,,Francisco Iba??ez,,,,,,,
283423449,1264330837,0,25980288,1,residential,,False,182.058,1264330837,283423449,,Francisco Iba??ez,,,,,,,
283423451,5203031712,0,1185125702,0,tertiary,40,True,38.743,5203031712,283423451,4,Calle Felipe Santiago Salaverry,,,,,,,
283423807,5195285779,0,27640077,0,tertiary,30,False,29.74,5195285779,283423807,2,Avenida Emmel,,,,,,,
283423807,1292294891,0,559258550,0,residential,,True,170.304,1292294891,283423807,,Lazo de los Rios,,,,,,,
283423807,3725076882,0,25980282,1,tertiary,30,False,66.525,3725076882,283423807,2,Lazo de los Rios,,,,,,,
283423882,3725076882,0,110809568,0,residential,,True,69.445,3725076882,283423882,,Avenida Garcilazo de la Vega,,,,,,,
283423882,5394450556,0,110809568,0,residential,,False,149.583,5394450556,283423882,,Avenida Garcilazo de la Vega,,,,,,,
283424077,5375720540,0,110816350,0,residential,30,True,12.956,5375720540,283424077,,Calle Benigno Ball??n Farf?�n,,,,,,,
283424077,5375720539,0,110816350,0,residential,30,False,60.719,5375720539,283424077,,Calle Benigno Ball??n Farf?�n,,,,,,,
283424077,1253003569,0,198345700,1,primary,50,False,52.527,283424077,1253003569,2,Avenida Victor Andr?�s Bela??nde,,AR-116,,,,,
283424077,283795209,0,198345700,1,primary,50,False,194.213,283795209,283424077,2,Avenida Victor Andr?�s Bela??nde,,AR-116,,,,,
283787906,1252919106,0,110823142,0,residential,40,False,61.978,1252919106,283787906,,,,,,,,,
283787906,1396135794,0,171693059,1,tertiary,30,False,68.86,283787906,1396135794,2,Jos?� Santos Chocano,,,,,,,
283787906,4682407593,0,474259058,0,footway,,False,84.047,4682407593,283787906,,,,,,,,,
283787906,1396135810,0,110823142,0,residential,40,True,137.794,1396135810,283787906,,,,,,,,,
283787906,4544102112,0,171693059,1,tertiary,30,False,163.67,4544102112,283787906,2,Jos?� Santos Chocano,,,,,,,
283789174,1396135810,0,25980282,1,tertiary,30,False,33.941,283789174,1396135810,2,Lazo de los Rios,,,,,,,
283789174,1264355433,0,"[109451364, 1185115694]",0,residential,,True,63.027,1264355433,283789174,,,,,,,,,
283789174,1252999279,0,25980282,1,tertiary,30,False,36.042,1252999279,283789174,2,Lazo de los Rios,,,,,,,
283789844,283789846,0,171693066,1,tertiary,30,False,34.625,283789844,283789846,,Urbanizaci??n Atlas MZ D,,,,,,,
283789844,1396135809,0,598210920,1,residential,30,False,115.917,283789844,1396135809,,Gustavo Cornejo,,,,,,,
283789844,1264339073,0,171693069,1,tertiary,30,False,39.494,1264339073,283789844,,Gustavo Cornejo,,,,,,,
283789846,5693791866,0,1185366443,0,tertiary,30,True,12.469,5693791866,283789846,,Urbanizaci??n Atlas MZ D,,,,,,,
283789846,283795209,0,198345700,1,primary,50,False,118.421,283789846,283795209,2,Avenida Victor Andr?�s Bela??nde,,AR-116,,,,,
283789846,286866810,0,198345700,1,primary,50,False,39.644,286866810,283789846,2,Avenida Victor Andr?�s Bela??nde,,AR-116,,,,,
283795209,1396135809,0,25980282,1,tertiary,30,False,36.406,283795209,1396135809,2,Lazo de los Rios,,,,,,,
283795209,4682408335,0,1185366444,0,tertiary,30,False,10.32,4682408335,283795209,2,Lazo de los Rios,,,,,,,
283812502,873867970,0,27640077,0,tertiary,30,False,22.979,873867970,283812502,2,Avenida Emmel,,,,,,,
283812502,1264292334,0,110813778,0,residential,40,True,67.498,1264292334,283812502,,Calle Javier Delgado,,,,,,,
283812502,5208947857,0,27640077,0,tertiary,30,True,26.738,5208947857,283812502,2,Avenida Emmel,,,,,,,
283812507,10062503682,0,26008336,1,primary,50,False,10.66,283812507,10062503682,2,Avenida Jos?� Abelardo Qui??ones,,,,,,,
283812507,283812509,0,110843401,0,tertiary,50,False,12.619,283812509,283812507,2,Avenida Emmel,,,,,,,
283812507,1252919040,0,27640077,0,tertiary,30,False,129.373,1252919040,283812507,2,Avenida Emmel,,,,,,,
283812507,10062503685,0,26008336,1,primary,50,False,14.283,10062503685,283812507,2,Avenida Jos?� Abelardo Qui??ones,,,,,,,
283812509,10062503684,0,405722947,1,primary,50,False,13.705,283812509,10062503684,2,Avenida Jos?� Abelardo Qui??ones,,,,,,,
283812509,1264360471,0,110843401,0,tertiary,50,False,81.391,1264360471,283812509,2,Avenida Emmel,,,,,,,
283812509,10062503683,0,405722947,1,primary,50,False,12.199,10062503683,283812509,2,Avenida Jos?� Abelardo Qui??ones,,,,,,,
283814466,1252919040,0,27640077,0,tertiary,30,True,70.738,1252919040,283814466,2,Avenida Emmel,,,,,,,
283814466,5208947860,0,27640077,0,tertiary,30,False,28.443,5208947860,283814466,2,Avenida Emmel,,,,,,,
283814466,5208947864,0,110843787,0,residential,,True,42.645,5208947864,283814466,,Calle Julio Ernesto Portugal,,,,,,,
286866805,286866810,0,903290103,0,residential,40,False,12.852,286866810,286866805,,,,,,,,,
286866805,11010994631,0,538066345,1,primary,50,False,50.182,286866805,11010994631,2,Avenida Victor Andr?�s Bela??nde,,AR-116,,,,,
286866805,5693791866,0,538066345,1,primary,50,False,40.026,5693791866,286866805,2,Avenida Victor Andr?�s Bela??nde,,AR-116,,,,,
286866810,11010994632,0,198345700,1,primary,50,False,58.335,11010994632,286866810,2,Avenida Victor Andr?�s Bela??nde,,AR-116,,,,,
287889414,1198315931,0,103800674,1,trunk_link,40,False,50.574,287889414,1198315931,1,,,,,,,,
287889414,1264343694,0,"[540035649, 24010201, 540035646]",1,trunk,"['60', '50']",False,198.818,287889414,1264343694,2,"['Avenida Miguel Forga', 'Variante Uchumayo']",yes,PE-34C,,,,,
287889414,11002056720,0,"[26282228, 1101792967]",1,trunk,60,False,93.722,11002056720,287889414,,Variante Uchumayo,yes,PE-34C,,,,,
303567295,11008718139,0,26282269,0,tertiary,50,True,7.432,11008718139,303567295,2,Avenida San Mart?�n,,,,,,,
303567295,303567317,0,1185125708,0,tertiary,40,False,9.741,303567317,303567295,4,Calle Felipe Santiago Salaverry,,,,,,,
303567295,10920891207,0,598199975,1,unclassified,30,False,8.277,303567295,10920891207,4,Avenida de la Marina,,,,,,,
303567295,5200768339,0,536991707,1,tertiary,60,False,42.127,5200768339,303567295,2,Avenida de la Marina,,,,,,,
303567317,11008718138,0,23552143,1,tertiary,40,False,7.054,303567317,11008718138,1,Avenida de la Marina,,,,,,,
303567317,5203031705,0,25980174,0,tertiary,40,False,5.748,5203031705,303567317,4,Calle Felipe Santiago Salaverry,,,,,,,
303567317,10920891210,0,558922932,1,residential,30,False,8.724,10920891210,303567317,,Pasaje Bustamante,,,,,,,
409472812,11013404035,0,109453211,1,secondary,40,False,6.884,409472812,11013404035,,Avenida Juan Vidaurr?�zaga,,,,,,,
409472812,1264365120,0,227667738,1,primary,60,False,11.465,409472812,1264365120,2,Avenida Pedro P. Diaz,,,,,,,
409472812,1253003144,0,109453211,1,secondary,40,False,10.525,1253003144,409472812,,Avenida Juan Vidaurr?�zaga,,,,,,,
409472812,4020778170,0,227667738,1,primary,60,False,8.685,4020778170,409472812,2,Avenida Pedro P. Diaz,,,,,,,
409472813,1252986345,0,110824792,0,residential,,False,12.594,1252986345,409472813,,,,,,,,,
409472813,11013403961,0,227667738,1,primary,60,False,97.927,409472813,11013403961,2,Avenida Pedro P. Diaz,,,,,,,
409472813,1253035248,0,110821053,0,residential,,True,54.891,1253035248,409472813,,,,,,,,,
409472813,4020778163,0,227667738,1,primary,60,False,17.976,4020778163,409472813,2,Avenida Pedro P. Diaz,,,,,,,
409472815,11013404068,0,227667738,1,primary,60,False,8.689,409472815,11013404068,2,Avenida Pedro P. Diaz,,,,,,,
409472815,1264303693,0,558919022,0,residential,,True,9.131,1264303693,409472815,,Los Zafiros,,,,,,,
409472815,5391078854,0,558919022,0,residential,,False,33.2,5391078854,409472815,,Los Zafiros,,,,,,,
409472815,11013404091,0,227667738,1,primary,60,False,18.543,11013404091,409472815,2,Avenida Pedro P. Diaz,,,,,,,
409472817,5391078209,0,906037027,0,residential,30,True,128.414,5391078209,409472817,2,Calle Ambrosio Vucetich,,,,,,,
409472817,1264324744,0,906037027,0,residential,30,False,14.69,1264324744,409472817,2,Calle Ambrosio Vucetich,,,,,,,
409472817,4020778158,0,227667738,1,primary,60,False,25.036,409472817,4020778158,2,Avenida Pedro P. Diaz,,,,,,,
409472817,11013403961,0,227667738,1,primary,60,False,23.852,11013403961,409472817,2,Avenida Pedro P. Diaz,,,,,,,
409473092,2087709217,0,110816100,1,secondary,50,False,9.672,409473092,2087709217,2,Avenida Arturo Ib?�??ez,,,,,,,
409473092,10779219045,0,1167637744,1,service,,False,4.806,409473092,10779219045,,,,,,,,,
409473092,10907229438,0,110816100,1,secondary,50,False,25.38,10907229438,409473092,2,Avenida Arturo Ib?�??ez,,,,,,,
461499177,11011286381,0,419750905,1,residential,45,False,93.459,461499177,11011286381,2,Calle Jerusal?�n,,,,,,,
461499177,10885702045,0,873382763,1,residential,40,False,2.105,461499177,10885702045,2,Calle Santa Marta,,,,,,,
461499177,1284563454,0,419750905,1,residential,45,False,122.531,1284563454,461499177,2,Calle Jerusal?�n,,,,,,,
461499177,1284563574,0,23798530,1,residential,40,False,122.735,1284563574,461499177,,Calle Ugarte,,,,,,,
461499178,911059921,0,38855847,1,residential,40,False,120.897,461499178,911059921,2,Calle Santa Marta,,,,,,,
461499178,1284563421,0,409153478,1,tertiary,40,False,123.636,461499178,1284563421,,Calle Rivero,,,,,,,
461499178,4427963954,0,873382764,1,tertiary,40,False,83.711,4427963954,461499178,,Calle Rivero,,,,,,,
461499178,10885702045,0,873382763,1,residential,40,False,123.334,10885702045,461499178,2,Calle Santa Marta,,,,,,,
462009629,1264349178,0,110815337,0,pedestrian,,True,123.525,1264349178,462009629,,Calle Mercaderes,,,,8,,,
462009629,4049211653,0,110815337,0,pedestrian,,False,48.226,4049211653,462009629,,Calle Mercaderes,,,,8,,,
462009629,914202058,0,873382764,1,tertiary,40,False,121.847,462009629,914202058,,Calle Rivero,,,,,,,
462009629,4049211656,0,399826756,1,tertiary,40,False,49.32,4049211656,462009629,2,Calle Nicol?�s de Pi?�rola,,,,,,,
